X,Y
0.1,-30.05
0.2,-38.2
0.3,-33.45
0.4,-27.8
0.5,-27.25
0.6,-14.8
0.7,-12.45
0.8,-16.2
0.9,-13.05
1,-16
1.1,-14.05
1.2,-8.2
1.3,-5.45
1.4,0.2
1.5,-0.25
1.6,-7.8
1.7,-5.45
1.8,1.8
1.9,7.95
2,10
2.1,-3.05
2.2,10.8
2.3,3.55
2.4,9.2
2.5,11.75
2.6,1.2
2.7,1.55
2.8,2.8
2.9,9.95
3,11
3.1,0.95
3.2,12.8
3.3,-0.45
3.4,3.2
3.5,7.75
3.6,10.2
3.7,11.55
3.8,-3.2
3.9,-3.05
4,6
4.1,0.95
4.2,-7.2
4.3,-7.45
4.4,-4.8
4.5,-5.25
4.6,-1.8
4.7,-6.45
4.8,-7.2
4.9,-3.05
5,-5
5.1,-15.05
5.2,-19.2
5.3,-26.45
5.4,-24.8
5.5,-16.25
5.6,-18.8
5.7,-34.45
5.8,-28.2
5.9,-36.05
6,-38
